id,group_id,menu_permission,event_permission,status,added_by,owner_id,is_deleted,create_date,modify_date
1835,4,"[\""1\"",\""7\"",\""8\"",\""14\""]","[\""1\"",\""10\"",\""12\""]",1,40264,40264,0,2026-06-06 17:56:26,2026-06-06 17:56:26
1836,5,"[\""1\"",\""5\"",\""6\"",\""7\"",\""8\"",\""13\""]","[\""1\"",\""2\"",\""7\"",\""8\"",\""9\"",\""11\"",\""12\""]",1,38872,38860,0,2026-06-08 01:28:13,2026-06-23 13:03:44
1837,1,"[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""10\"",\""11\"",\""12\"",\""13\"",\""14\""]","[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""10\"",\""11\"",\""12\"",\""13\"",\""14\"",\""15\""]",1,40265,40265,0,2026-06-08 11:48:51,2026-06-08 11:48:51
1838,2,"[\""1\"",\""2\"",\""5\"",\""6\"",\""7\"",\""8\"",\""13\"",\""14\""]","[\""1\"",\""2\"",\""3\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""11\"",\""12\"",\""13\"",\""14\"",\""15\""]",1,40265,40265,0,2026-06-08 11:48:51,2026-06-08 11:48:51
1839,3,"[\""1\"",\""2\"",\""5\"",\""6\"",\""7\"",\""8\"",\""14\""]","[\""1\"",\""2\"",\""3\"",\""5\"",\""9\"",\""12\"",\""13\"",\""14\""]",1,40265,40265,0,2026-06-08 11:48:51,2026-06-08 11:48:51
1840,4,"[\""1\"",\""7\"",\""8\"",\""14\""]","[\""1\"",\""10\"",\""12\""]",1,40265,40265,0,2026-06-08 11:48:51,2026-06-08 11:48:51
1841,1,"[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""10\"",\""11\"",\""12\"",\""13\"",\""14\""]","[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""10\"",\""11\"",\""12\"",\""13\"",\""14\"",\""15\""]",1,40266,40266,0,2026-06-08 12:08:35,2026-06-08 12:08:35
1842,2,"[\""1\"",\""2\"",\""5\"",\""6\"",\""7\"",\""8\"",\""13\"",\""14\""]","[\""1\"",\""2\"",\""3\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""11\"",\""12\"",\""13\"",\""14\"",\""15\""]",1,40266,40266,0,2026-06-08 12:08:35,2026-06-08 12:08:35
1843,3,"[\""1\"",\""2\"",\""5\"",\""6\"",\""7\"",\""8\"",\""14\""]","[\""1\"",\""2\"",\""3\"",\""5\"",\""9\"",\""12\"",\""13\"",\""14\""]",1,40266,40266,0,2026-06-08 12:08:35,2026-06-08 12:08:35
1844,4,"[\""1\"",\""7\"",\""8\"",\""14\""]","[\""1\"",\""10\"",\""12\""]",1,40266,40266,0,2026-06-08 12:08:35,2026-06-08 12:08:35
