original_id,original_name,canonical_name,reason
6341,Associate - projects,Associate Projects,Word count mismatch
6376,Post-doctoral fellow,Post Doctoral Fellow,Word count mismatch
6387,Assistent-accountant,Assistent Accountant,Word count mismatch
6413,Chef de d?partement,Chef De D Partement,Word count mismatch
6423,Bcnu - dc1 nurse upp,Bcnu Dc1 Nurse Upp,Word count mismatch
6483,Accountant & cashier,Accountant Cashier,Word count mismatch
6488,Part-time instructor,Part Time Instructor,Word count mismatch
6494,Responsable d'agence,Responsable D Agence,Word count mismatch
6496,Pre-sales consultant,Pre Sales Consultant,Word count mismatch
6521,Agent d'exploitation,Agent D Exploitation,Word count mismatch
6534,Web & flash designer,Web Flash Designer,Word count mismatch
6536,Faculty & counsellor,Faculty Counsellor,Word count mismatch
6552,Professor de ingl?s,Professor De Ingl S,Word count mismatch
6553,S?cio propriet?rio,S Cio Propriet Rio,Word count mismatch
6555,Diretor de cria??o,Diretor De Cria O,Word count mismatch
6573,Children's librarian,Children S Librarian,Word count mismatch
6579,Front end supervisor,Frontend Supervisor,Word count mismatch
6600,Vp sales & marketing,Vp Sales Marketing,Word count mismatch
6602,Owner and co-founder,Owner And Co Founder,Word count mismatch
6609,Accountant & manager,Accountant Manager,Word count mismatch
6624,Profesor de c?tedra,Profesor De C Tedra,Word count mismatch
6680,Manager & accountant,Manager Accountant,Word count mismatch
6695,Cashier & accountant,Cashier Accountant,Word count mismatch
6721,Founder and co-owner,Founder And Co Owner,Word count mismatch
6736,Co-founder and owner,Co Founder And Owner,Word count mismatch
6758,Co-owner and founder,Co Owner And Founder,Word count mismatch
6832,Charg?e de marketing,Charg E De Marketing,Word count mismatch
6855,Attach?e commerciale,Attach E Commerciale,Word count mismatch
6863,E-commerce specialist,E Commerce Specialist,Word count mismatch
6908,Classroom teacher k-6,Classroom Teacher K 6,Word count mismatch
6926,Designer & supervisor,Designer Supervisor,Word count mismatch
6954,Assistant f&b manager,Assistant F B Manager,Word count mismatch
6997,Stage de fin d'?tude,Stage De Fin D Tude,Word count mismatch
6999,Ing?nieur consultant,Ing Nieur Consultant,Word count mismatch
7014,Technician - variable,Technician Variable,Word count mismatch
7021,Advocate & consultant,Advocate Consultant,Word count mismatch
7043,Audit & tax assistant,Audit Tax Assistant,Word count mismatch
7044,Director and co-owner,Director And Co Owner,Word count mismatch
7111,Ing?nieur production,Ing Nieur Production,Word count mismatch
7116,Chef d'?tablissement,Chef D Tablissement,Word count mismatch
7142,Reporter & sub editor,Reporter Sub Editor,Word count mismatch
7151,Principal's secretary,Principal S Secretary,Word count mismatch
7197,Receptionist & typist,Receptionist Typist,Word count mismatch
7209,T?cnico da qualidade,T Cnico Da Qualidade,Word count mismatch
7255,Visualizer & designer,Visualizer Designer,Word count mismatch
7263,3d modeler & animator,3D Modeler Animator,Word count mismatch
7265,Employ?e de commerce,Employ E De Commerce,Word count mismatch
7270,Sub editor & reporter,Sub Editor Reporter,Word count mismatch
7275,Ing?nieur commercial,Ing Nieur Commercial,Word count mismatch
7305,D?l?gu? commercial,D L Gu Commercial,Word count mismatch
7323,Profesor-investigador,Profesor Investigador,Word count mismatch
7330,Fire & safety officer,Fire Safety Officer,Word count mismatch
7424,Head - human resources,Head Human Resources,Word count mismatch
7432,Graphic & web designer,Graphic Web Designer,Word count mismatch
7486,Co-founder and partner,Co Founder And Partner,Word count mismatch
7531,Reporter & copy editor,Reporter Copy Editor,Word count mismatch
7578,Non-executive director,Non Executive Director,Word count mismatch
7579,Salesperson - variable,Salesperson Variable,Word count mismatch
7616,Stage de fin d'?tudes,Stage De Fin D Tudes,Word count mismatch
7669,Sr.technical recruiter,Senior Technical Recruiter,Word count mismatch
7742,D?veloppeur front-end,D Veloppeur Frontend,Word count mismatch
7748,Senior manager - sales,Senior Manager Sales,Word count mismatch
7750,Maitre de conf?rences,Maitre De Conf Rences,Word count mismatch
7751,Head sales & marketing,Head Sales Marketing,Word count mismatch
7768,Ing?nieur maintenance,Ing Nieur Maintenance,Word count mismatch
7788,Copy editor & reporter,Copy Editor Reporter,Word count mismatch
7829,Voice & accent trainer,Voice Accent Trainer,Word count mismatch
7873,Commercial s?dentaire,Commercial S Dentaire,Word count mismatch
7877,Charg?e de production,Charg E De Production,Word count mismatch
7908,News anchor & reporter,News Anchor Reporter,Word count mismatch
7912,Partner and co-founder,Partner And Co Founder,Word count mismatch
7928,Technical co-ordinator,Technical Co Ordinator,Word count mismatch
7941,Charg?e de mission rh,Charg E De Mission Rh,Word count mismatch
7948,Diretor de opera??es,Diretor De Opera Es,Word count mismatch
7957,Executive - operations,Executive Operations,Word count mismatch
